;VALOR;COL
0;1;2
1;2;3
2;3;4
3;4;6
4;5;7
5;6;9
6;7;13
7;8;16
8;9;18
9;10;19
10;11;20
11;12;21
12;13;23
13;14;27
14;14;28
15;14;29
16;14;30
17;14;31
18;14;32
19;14;33
20;14;34
21;14;35
22;14;36
23;15;37
24;16;38
25;17;39
26;18;40
27;19;41
28;20;42
29;21;43
30;22;44
31;23;45
32;24;46
33;25;47
34;26;48
35;27;50
36;28;51
37;29;53
38;30;56
39;31;58
40;32;61
41;33;62
42;34;63
43;35;64
44;36;15
45;37;18
46;38;8
47;39;15
48;40;5
49;41;15
50;42;1
51;43;15
52;44;5
53;45;6
54;46;14
56;47;1
57;48;18
58;49;5
59;50;20
60;51;18
61;52;14
62;53;8
63;14;27
64;14;28
65;14;29
66;14;30
67;14;31
68;14;32
69;14;33
70;14;34
71;14;35
72;14;36
73;54;49
74;55;54
75;56;1
76;57;2
78;56;3
79;56;4
80;56;5
81;56;6
82;56;7
83;56;8
84;56;9
85;56;10
86;56;11
87;56;12
88;56;13
89;56;14
90;56;15
91;56;16
92;56;17
93;56;18
94;56;19
95;56;20
96;56;21
97;56;22
98;56;23
99;56;24
100;56;25
101;56;26
102;56;27
103;56;28
104;56;29
105;56;30
106;56;31
107;56;32
108;56;33
109;56;34
110;56;35
111;56;36
112;56;39
113;56;41
114;56;43
115;56;47
116;56;52
117;56;53
118;56;54
119;56;55
120;56;56
121;56;57
122;56;58
123;56;59
124;56;60
125;56;61
126;58;27
127;59;28
128;58;29
129;58;30
130;58;31
131;58;32
132;58;33
133;58;34
134;58;35
135;58;36
136;60;54
137;58;27
138;59;28
139;58;29
140;58;30
141;58;31
142;58;32
143;58;33
144;58;34
145;58;35
146;58;36
147;61;54
148;62;54
149;63;54
150;64;54
151;65;54
152;66;54
153;67;54
154;68;54
155;69;54
156;70;54
157;71;54
158;72;54
159;73;1
160;74;2
161;73;3
162;73;4
163;73;5
164;73;6
165;73;7
166;73;8
167;73;9
168;73;10
169;73;11
170;73;12
171;73;13
172;73;14
173;73;15
174;73;16
175;73;17
176;73;18
177;73;19
178;73;20
179;73;21
180;73;22
181;73;23
182;73;24
183;73;25
184;73;26
185;75;54
186;76;54
187;77;56
189;78;1
190;79;2
191;78;3
192;78;4
193;78;5
194;78;6
195;78;7
196;78;8
197;78;9
198;78;10
199;78;11
200;78;12
201;78;13
202;78;14
203;78;15
204;78;16
205;78;17
206;78;18
207;78;19
208;78;20
209;78;21
210;78;22
211;78;23
212;78;24
213;78;25
214;78;26
215;78;27
216;78;28
217;78;29
218;78;30
219;78;31
220;78;32
221;78;33
222;78;34
223;78;35
224;78;36
225;78;39
226;78;41
227;78;43
228;78;47
229;78;52
230;78;53
231;78;54
232;78;55
233;78;56
234;78;57
235;78;58
236;78;59
237;78;60
238;80;61
239;81;62
240;82;54
241;83;56
242;84;64
243;85;54
244;86;56
245;87;15
246;88;5
247;89;1
248;90;14
249;91;3
250;92;54
251;93;12
252;94;18
253;95;20
254;96;54
255;97;3
256;98;20
257;99;9
258;100;9
259;101;1
260;102;18
261;103;21
262;104;20
263;105;9
264;106;27
265;107;28
266;106;29
267;106;30
268;106;31
269;106;32
270;106;33
271;106;34
272;106;35
273;106;36
274;56;1
275;56;2
276;56;3
277;56;4
278;56;5
279;56;6
280;56;7
281;56;8
282;56;9
283;56;10
284;56;11
285;56;12
286;56;13
287;56;14
288;56;15
289;56;16
290;56;17
291;56;18
292;56;19
293;56;20
294;56;21
295;56;22
296;56;23
297;56;24
298;56;25
299;56;26
300;56;27
;56;28
;56;29
;56;30
;56;31
;56;32
;56;33
;56;34
;56;35
;56;36
;108;37
;56;39
;56;41
;56;43
;56;47
;56;52
;56;53
;56;54
;56;55
;56;56
;56;57
;56;58
;56;59
;56;60
;56;61
;56;1
;56;2
;56;3
;56;4
